1,VIP1.0,1,"Vermont Practice",simonanguish@mac.com,1,1,1,1,1,05405,1,1,1,0,3,1,4,3,1,50,2,2,2,3,3,4,1,3,3,64,4,1,63,3,1,4,1,56,1,3,3,1,3,1,0,0,1,2,3,30,2,1,38,2,1,38,0,
1,VIP1.0,1,"Vermont Practice",simonanguish@mac.com,1,1,1,1,1,05405,1,1,1,0,3,1,4,3,1,50,2,2,2,3,3,4,1,3,3,64,4,1,63,3,1,4,1,56,1,3,3,1,3,1,0,0,1,2,3,30,2,1,38,2,1,38,0,
1,VIP1.0,1,"Vermont Practice",simonanguish@mac.com,1,1,1,1,1,05405,1,1,1,0,3,1,4,3,1,50,2,2,2,3,3,4,1,3,3,64,4,1,63,3,1,4,1,56,1,3,3,1,3,1,0,0,1,2,3,30,2,1,38,2,1,38,0,
1,VIP1.0,1,"Vermont Practice",simonanguish@mac.com,1,1,1,1,1,05405,1,1,1,0,3,1,4,3,1,50,2,2,2,3,3,4,1,3,3,64,4,1,63,3,1,4,1,56,1,3,3,1,3,1,0,0,1,2,3,30,2,1,38,2,1,38,0,
1,VIP1.0,1,"Test Pratice",simonanguish@mac.com,1,1,1,1,1,05405,1,1,1,1,2,3,2,3,3,58,2,2,4,2,4,2,4,2,2,67,2,2,50,2,0,1,2,31,3,1,4,1,1,1,1,2,3,0,2,40,1,1,25,3,4,88,0,
3,VIP2.0,1,"Practice Reinvite",simonanguish@mac.com,1,1,1,1,1,05405,1,1,1,1,3,2,2,2,2,50,1,4,3,2,4,2,3,2,3,67,3,0,38,4,1,0,3,50,4,4,2,4,3,3,4,2,3,3,1,65,4,2,75,2,25,0,
3,VIP2.0,1,"Practice Reinvite",simonanguish@mac.com,1,1,1,1,1,05405,1,1,1,1,3,2,2,2,2,50,1,4,3,2,4,2,3,2,3,67,3,0,38,4,1,0,3,50,4,4,2,4,3,3,4,2,3,3,1,65,4,2,75,2,25,0,
21,VIP5.0,1,test,rerickso@uvm.edu,4,4,4,5,2,05405,1,2,1,4,4,0,0,0,0,33,0,1,1,1,1,1,1,1,1,22,2,2,50,3,3,3,56,0,0,0,0,1,

21,VIP5.0,1,test,rerickso@uvm.edu,4,4,4,5,2,05405,1,2,1,4,4,0,0,0,0,33,0,1,1,1,1,1,1,1,1,22,2,2,50,3,3,3,56,0,0,0,0,1,

40,VIP6.0,1,"Practice Test",sanguish@uvm.edu,1,1,1,1,1,45678,1,1,1,2,0,0,0,8,0,0,3,0,3,2,1,2,3,39,1,3,50,3,4,2,1,63,1,2,1,4,3,4,63,3,4,0,3,4,70,2,3,63,2,1,25,1,fdszxcvjkl


